Model,Macro-F1,PR-AUC,Runtime Rank,Efficiency Rank,Composite Utility Score
Logistic Regression,0.8900851942640475,0.973701250212508,1.0,1.0,0.2
Random Forest,0.9795688566167943,0.9993968340040487,2.0,3.0,0.9567322087826686
HistGradientBoosting,0.9771594178327143,0.9991106394539188,4.0,3.0,0.906238291031789
LightGBM-like,0.9771594178327143,0.9991106394539188,3.0,2.5,0.9119026596040504
GCN,0.9114556091207948,0.9864948539446907,6.0,4.0,0.3907869585300199
GraphSAGE,0.9216050246195167,0.9872514393197602,5.0,3.5,0.4657298564100039
GAT,0.8910402848177437,0.9821212539950016,8.0,5.0,0.11946303125483586
Hybrid HGB+GNN,0.9801122864642681,0.9993555046890863,7.0,5.0,0.8901831648694667
