Representation,Model,Accuracy,Macro-F1,PR-AUC,MCC,Gain over Tabular (%)
Tabular only,HistGradientBoosting,0.9832985386221295,0.9771594178327143,0.9991106394539188,0.9543346662916474,0.0
Embedding only,XGBoost on GNN embeddings,0.9509394572025052,0.929339637364199,0.9885451028756171,0.8637282967310246,-4.8937542427393215
Tabular + Embedding,Hybrid HGB+GNN,0.9843423799582464,0.9786813351652472,0.9993066296346604,0.9573666012189227,0.15574913414931393
