Model,Feature Modality,Graph Type,Accuracy,Macro-F1,PR-AUC,MCC,Runtime (s)
Logistic Regression,Tabular,None,0.9269311064718163,0.8900851942640475,0.973701250212508,0.7955418456280027,0.039794921875
Random Forest,Tabular,None,0.9850382741823243,0.9795688566167943,0.9993968340040487,0.9591416716873991,0.5987629890441895
HistGradientBoosting,Tabular,None,0.9832985386221295,0.9771594178327143,0.9991106394539188,0.9543346662916474,0.6366910934448242
LightGBM-like,Tabular,None,0.9832985386221295,0.9771594178327143,0.9991106394539188,0.9543346662916474,0.9434869289398193
GCN,Graph-based,"k-NN cosine, k=5",0.9387613082811412,0.9114556091207948,0.9864948539446907,0.8285540422116032,1.3349800109863281
GraphSAGE,Graph-based,"k-NN cosine, k=5",0.9457202505219207,0.9216050246195167,0.9872514393197602,0.8487219113899068,1.0690009593963623
GAT,Graph-based,"k-NN cosine, k=5",0.9251913709116214,0.8910402848177437,0.9821212539950016,0.7890025474524835,2.6215670108795166
